index	Relation	Section	FileNumber	label	Connective_SpanList	Arg1_RawText	Arg2_RawText	Conn1	subtype_label
3206	Implicit	2	0	Comparison		"In an Oct. 19 review of ""The Misanthrope"" at Chicago's Goodman Theatre (""Revitalized Classics Take the Stage in Windy City,"" Leisure & Arts), the role of Celimene, played by Kim Cattrall, was mistakenly attributed to Christina Haag"	Ms. Haag plays Elianti	however	Comparison.Contrast
3209	Implicit	2	2	Expansion		BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share	The new rate will be payable Feb. 15	and	Expansion.Conjunction
3210	Implicit	2	2	Comparison		The new rate will be payable Feb. 15	A record date hasn't been set	however	Comparison.Contrast
3219	Implicit	2	7	Expansion		Solo woodwind players have to be creative if they want to work a lot, because their repertoire and audience appeal are limited	The oboist Heinz Holliger has taken a hard line about the problem: He commissions and splendidly interprets fearsome contemporary scores and does some conducting, so he doesn't have to play the same Mozart and Strauss concertos over and over again	for example	Expansion.Instantiation
3221	Implicit	2	7	Expansion		Richard Stoltzman has taken a gentler, more audience-friendly approach	"Years ago, he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi, which won audiences over to dreaded contemporary scores like Messiaen's ""Quartet for the End of Time"	although	Expansion.Restatement
3223	Implicit	2	7	Expansion		and now goes on the road with piano, bass, a slide show, and a repertoire that ranges from light classical to light jazz to light pop, with a few notable exceptions	Just the thing for the Vivaldi-at-brunch set, the yuppie audience that has embraced New Age as its very own easy listening	in short	Expansion.Restatement
3225	Implicit	2	7	Expansion		But you can't dismiss Mr. Stoltzman's music or his motives as merely commercial and lightweight	He believes in what he plays, and he plays superbly	rather	Expansion.Restatement
3227	Implicit	2	7	Expansion		He believes in what he plays, and he plays superbly	"His recent appearance at the Metropolitan Museum, dubbed ""A Musical Odyssey,"" was a case in point"	for example	Expansion.Instantiation
3228	Implicit	2	7	Expansion		"His recent appearance at the Metropolitan Museum, dubbed ""A Musical Odyssey,"" was a case in point"	It felt more like a party, or a highly polished jam session with a few friends, than a classical concert	specifically	Expansion.Restatement
3231	Implicit	2	7	Temporal		"Clad in his trademark black velvet suit, the soft-spoken clarinetist announced that his new album, ""Inner Voices,"" had just been released, that his family was in the front row, and that it was his mother's birthday, so he was going to play her favorite tune from the record"	"He launched into Saint-Saens's ""The Swan"" from ""Carnival of the Animals,"" a favorite encore piece for cellists, with lovely, glossy tone and no bite"	then	Temporal.Asynchronous.Precedence
3235	Implicit	2	7	Expansion		And so it went through the first half: an ingeniously chosen potpourri of pieces, none longer than five minutes, none that would disturb or challenge a listener	Mr. Stoltzman introduced his colleagues: Bill Douglas, pianist/bassoonist/composer and an old buddy from Yale, and jazz bassist Eddie Gomez	also	Expansion.Conjunction
3236	Implicit	2	7	Temporal		Mr. Stoltzman introduced his colleagues: Bill Douglas, pianist/bassoonist/composer and an old buddy from Yale, and jazz bassist Eddie Gomez	"An improvisational section was built around pieces by Mr. Douglas, beginning with ""Golden Rain,"" a lilting, laid-back lead in to the uptempo ""Sky,"" which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers"	next	Temporal.Asynchronous.Precedence
